Date,Open,High,Low,Close,Volume
20.09.2023 00:00:00.000,1.06817,1.06839,1.06795,1.06801,1167.62
20.09.2023 00:15:00.000,1.06801,1.06838,1.06801,1.06835,842.1300000000001
20.09.2023 00:30:00.000,1.06836,1.06859,1.06825,1.06837,584.16
20.09.2023 00:45:00.000,1.06838,1.06860,1.06835,1.06850,1302.2500000000002
20.09.2023 01:00:00.000,1.06850,1.06863,1.06834,1.06851,1160.2099999999998
20.09.2023 01:15:00.000,1.06851,1.06862,1.06802,1.06852,1201.56
20.09.2023 01:30:00.000,1.06852,1.06877,1.06836,1.06855,941.6300000000001
20.09.2023 01:45:00.000,1.06855,1.06873,1.06838,1.06864,857.31
20.09.2023 02:00:00.000,1.06865,1.06898,1.06858,1.06898,968.9699999999999
20.09.2023 02:15:00.000,1.06898,1.06899,1.06857,1.06862,806.8799999999999
20.09.2023 02:30:00.000,1.06860,1.06870,1.06841,1.06856,785.8600000000001
20.09.2023 02:45:00.000,1.06857,1.06862,1.06829,1.06832,642.6899999999999
20.09.2023 03:00:00.000,1.06830,1.06844,1.06815,1.06824,925.0600000000001
20.09.2023 03:15:00.000,1.06823,1.06836,1.06815,1.06829,1261.49
20.09.2023 03:30:00.000,1.06827,1.06830,1.06790,1.06801,830.9
20.09.2023 03:45:00.000,1.06800,1.06800,1.06784,1.06797,960.4700000000001
20.09.2023 04:00:00.000,1.06797,1.06806,1.06786,1.06792,646.6400000000001
20.09.2023 04:15:00.000,1.06791,1.06799,1.06790,1.06791,535.81
20.09.2023 04:30:00.000,1.06791,1.06813,1.06784,1.06785,993.8599999999999
20.09.2023 04:45:00.000,1.06784,1.06796,1.06784,1.06788,671.9200000000001
20.09.2023 05:00:00.000,1.06786,1.06814,1.06785,1.06797,904.14
20.09.2023 05:15:00.000,1.06793,1.06818,1.06790,1.06813,658.31
20.09.2023 05:30:00.000,1.06812,1.06841,1.06810,1.06817,1276.1699999999998
20.09.2023 05:45:00.000,1.06815,1.06817,1.06793,1.06811,1209.56
20.09.2023 06:00:00.000,1.06810,1.06879,1.06731,1.06866,4980.68
20.09.2023 06:15:00.000,1.06864,1.06917,1.06861,1.06902,2115.35
20.09.2023 06:30:00.000,1.06906,1.06929,1.06880,1.06926,2185.5
20.09.2023 06:45:00.000,1.06926,1.06932,1.06815,1.06820,1841.7800000000002
20.09.2023 07:00:00.000,1.06820,1.06843,1.06768,1.06769,3490.15
20.09.2023 07:15:00.000,1.06767,1.06817,1.06755,1.06804,2477.6000000000004
20.09.2023 07:30:00.000,1.06804,1.06910,1.06800,1.06897,2533.6800000000003
20.09.2023 07:45:00.000,1.06898,1.06932,1.06880,1.06907,2048.5399999999995
20.09.2023 08:00:00.000,1.06908,1.06930,1.06898,1.06902,1955.2800000000004
20.09.2023 08:15:00.000,1.06903,1.06958,1.06900,1.06936,2116.09
20.09.2023 08:30:00.000,1.06936,1.06971,1.06929,1.06941,1628.74
20.09.2023 08:45:00.000,1.06941,1.06968,1.06939,1.06964,1935.36
20.09.2023 09:00:00.000,1.06964,1.07001,1.06958,1.06988,2628.72
20.09.2023 09:15:00.000,1.06989,1.06992,1.06934,1.06944,1096.03
20.09.2023 09:30:00.000,1.06943,1.06970,1.06934,1.06959,1353.9299999999998
20.09.2023 09:45:00.000,1.06960,1.07000,1.06938,1.06989,1792.5200000000004
20.09.2023 10:00:00.000,1.06989,1.07042,1.06989,1.07016,2809.750000000001
20.09.2023 10:15:00.000,1.07015,1.07030,1.06999,1.06999,1484.07
20.09.2023 10:30:00.000,1.07001,1.07049,1.06994,1.07015,2648.6
20.09.2023 10:45:00.000,1.07013,1.07051,1.07010,1.07033,3175.4
20.09.2023 11:00:00.000,1.07032,1.07049,1.06989,1.06993,1138.76
20.09.2023 11:15:00.000,1.06994,1.07001,1.06973,1.06997,1172.94
20.09.2023 11:30:00.000,1.06998,1.07030,1.06995,1.07024,1348.9499999999998
20.09.2023 11:45:00.000,1.07023,1.07050,1.07013,1.07017,1228.8
20.09.2023 12:00:00.000,1.07017,1.07037,1.06973,1.06980,2200.29
20.09.2023 12:15:00.000,1.06980,1.07036,1.06968,1.07001,2332.0299999999997
20.09.2023 12:30:00.000,1.07000,1.07001,1.06924,1.06981,2427.79
20.09.2023 12:45:00.000,1.06981,1.07015,1.06957,1.06981,3399.8600000000006
20.09.2023 13:00:00.000,1.06983,1.07100,1.06973,1.07095,5102.32
20.09.2023 13:15:00.000,1.07094,1.07098,1.07034,1.07052,4140.77
20.09.2023 13:30:00.000,1.07051,1.07142,1.07038,1.07107,6166.099999999999
20.09.2023 13:45:00.000,1.07107,1.07184,1.07102,1.07172,7111.95
20.09.2023 14:00:00.000,1.07172,1.07273,1.07161,1.07208,6108.379999999999
20.09.2023 14:15:00.000,1.07208,1.07210,1.07131,1.07178,3802.3200000000006
20.09.2023 14:30:00.000,1.07179,1.07240,1.07174,1.07226,4293.84
20.09.2023 14:45:00.000,1.07227,1.07229,1.07170,1.07198,3039.1299999999997
20.09.2023 15:00:00.000,1.07198,1.07247,1.07157,1.07220,2592.4
20.09.2023 15:15:00.000,1.07221,1.07222,1.07158,1.07174,2315.09
