date,open,high,low,close,volume
04.11.2024 00:00:00.000,1.08728,1.08747,1.08700,1.08702,2663.36
04.11.2024 00:15:00.000,1.08702,1.08727,1.08699,1.08717,2486.3500000000004
04.11.2024 00:30:00.000,1.08718,1.08734,1.08709,1.08729,2085.5699999999997
04.11.2024 00:45:00.000,1.08728,1.08791,1.08728,1.08771,2509.1400000000003
04.11.2024 01:00:00.000,1.08772,1.08799,1.08767,1.08797,2456.55
04.11.2024 01:15:00.000,1.08799,1.08868,1.08799,1.08844,2144.43
04.11.2024 01:30:00.000,1.08844,1.08873,1.08821,1.08847,3077.58
04.11.2024 01:45:00.000,1.08845,1.08912,1.08838,1.08882,3470.26
04.11.2024 02:00:00.000,1.08882,1.08902,1.08871,1.08883,3699.4500000000003
04.11.2024 02:15:00.000,1.08882,1.08897,1.08847,1.08886,4402.88
04.11.2024 02:30:00.000,1.08887,1.08919,1.08867,1.08913,3968.9699999999993
04.11.2024 02:45:00.000,1.08912,1.08942,1.08911,1.08941,3752.9600000000005
04.11.2024 03:00:00.000,1.08942,1.09010,1.08942,1.09001,4399.91
04.11.2024 03:15:00.000,1.09002,1.09009,1.08985,1.08987,4540
04.11.2024 03:30:00.000,1.08990,1.09032,1.08965,1.09013,1654.2199999999998
04.11.2024 03:45:00.000,1.09013,1.09049,1.09001,1.09015,2569.24
04.11.2024 04:00:00.000,1.09015,1.09030,1.08997,1.09001,3168.23
04.11.2024 04:15:00.000,1.09000,1.09000,1.08980,1.08987,2156.67
04.11.2024 04:30:00.000,1.08989,1.09022,1.08974,1.09019,1830.43
04.11.2024 04:45:00.000,1.09020,1.09026,1.08967,1.08974,2742.51
04.11.2024 05:00:00.000,1.08973,1.08975,1.08942,1.08952,3009.67
04.11.2024 05:15:00.000,1.08953,1.08965,1.08942,1.08951,2856.4999999999995
04.11.2024 05:30:00.000,1.08950,1.08970,1.08946,1.08966,3566.4799999999996
04.11.2024 05:45:00.000,1.08965,1.08999,1.08945,1.08988,3268.08
04.11.2024 06:00:00.000,1.08988,1.09019,1.08949,1.08955,3502.8299999999995
04.11.2024 06:15:00.000,1.08956,1.08991,1.08949,1.08970,3259.0099999999998
04.11.2024 06:30:00.000,1.08969,1.08976,1.08946,1.08957,3514.23
04.11.2024 06:45:00.000,1.08957,1.08957,1.08912,1.08915,4421.159999999999
04.11.2024 07:00:00.000,1.08915,1.08921,1.08887,1.08912,5292.5
04.11.2024 07:15:00.000,1.08912,1.08946,1.08871,1.08891,3200.9499999999994
04.11.2024 07:30:00.000,1.08890,1.08955,1.08890,1.08922,2005.64
04.11.2024 07:45:00.000,1.08923,1.08931,1.08881,1.08912,2407.93
04.11.2024 08:00:00.000,1.08913,1.09007,1.08896,1.08992,3689.56
04.11.2024 08:15:00.000,1.08994,1.08999,1.08934,1.08952,3777.36
04.11.2024 08:30:00.000,1.08952,1.08956,1.08902,1.08915,3910.440000000001
04.11.2024 08:45:00.000,1.08916,1.08942,1.08892,1.08928,3612.9999999999995
04.11.2024 09:00:00.000,1.08927,1.08963,1.08911,1.08962,3373.5499999999993
04.11.2024 09:15:00.000,1.08963,1.08983,1.08921,1.08975,2646.89
04.11.2024 09:30:00.000,1.08976,1.09021,1.08971,1.09003,2131.43
04.11.2024 09:45:00.000,1.09004,1.09008,1.08950,1.08962,3963.7099999999996
04.11.2024 10:00:00.000,1.08961,1.08984,1.08950,1.08977,2264.38
04.11.2024 10:15:00.000,1.08977,1.08983,1.08936,1.08968,2402.93
04.11.2024 10:30:00.000,1.08967,1.09028,1.08965,1.09018,1551.28
04.11.2024 10:45:00.000,1.09018,1.09022,1.08980,1.09016,1595.8599999999997
04.11.2024 11:00:00.000,1.09016,1.09047,1.09007,1.09034,2036.2000000000005
04.11.2024 11:15:00.000,1.09033,1.09042,1.09001,1.09014,3861.9900000000002
04.11.2024 11:30:00.000,1.09015,1.09084,1.08995,1.09079,2277.6600000000003
04.11.2024 11:45:00.000,1.09078,1.09140,1.09071,1.09134,1960.3100000000002
04.11.2024 12:00:00.000,1.09133,1.09147,1.09029,1.09030,4201.3
04.11.2024 12:15:00.000,1.09033,1.09097,1.09025,1.09081,3014.45
04.11.2024 12:30:00.000,1.09084,1.09091,1.09035,1.09035,2982.9900000000002
04.11.2024 12:45:00.000,1.09035,1.09065,1.09015,1.09045,3299.4599999999996
04.11.2024 13:00:00.000,1.09046,1.09079,1.09027,1.09079,3988.14
04.11.2024 13:15:00.000,1.09080,1.09090,1.08939,1.08952,4173.329999999999
04.11.2024 13:30:00.000,1.08951,1.08986,1.08933,1.08983,3997.48
04.11.2024 13:45:00.000,1.08982,1.09092,1.08974,1.09052,2976.03
04.11.2024 14:00:00.000,1.09050,1.09096,1.09023,1.09055,4873.49
04.11.2024 14:15:00.000,1.09056,1.09073,1.09002,1.09010,3569.38
04.11.2024 14:30:00.000,1.09010,1.09051,1.09003,1.09032,4918.26
04.11.2024 14:45:00.000,1.09034,1.09046,1.08955,1.08997,6707.29
04.11.2024 15:00:00.000,1.08995,1.09069,1.08981,1.09041,6722.45
04.11.2024 15:15:00.000,1.09040,1.09081,1.08985,1.09028,6072.669999999999
04.11.2024 15:30:00.000,1.09028,1.09074,1.09010,1.09036,5034.820000000001
04.11.2024 15:45:00.000,1.09036,1.09036,1.08960,1.08992,4835.790000000001
04.11.2024 16:00:00.000,1.08992,1.09009,1.08910,1.08910,4099.41
04.11.2024 16:15:00.000,1.08908,1.08929,1.08859,1.08888,3419.7799999999997
04.11.2024 16:30:00.000,1.08887,1.08920,1.08868,1.08880,2781.61
04.11.2024 16:45:00.000,1.08881,1.08886,1.08802,1.08840,4597.01
04.11.2024 17:00:00.000,1.08841,1.08844,1.08798,1.08833,2722.32
04.11.2024 17:15:00.000,1.08834,1.08933,1.08831,1.08920,2326.29
04.11.2024 17:30:00.000,1.08921,1.08937,1.08825,1.08836,2732.52
04.11.2024 17:45:00.000,1.08837,1.08887,1.08825,1.08887,2267.34
04.11.2024 18:00:00.000,1.08887,1.08891,1.08806,1.08857,2804.4300000000003
04.11.2024 18:15:00.000,1.08856,1.08860,1.08797,1.08798,2218.11
04.11.2024 18:30:00.000,1.08799,1.08863,1.08781,1.08839,2255.91
04.11.2024 18:45:00.000,1.08838,1.08872,1.08832,1.08852,1283.1299999999999
04.11.2024 19:00:00.000,1.08853,1.08857,1.08802,1.08811,1601.38
04.11.2024 19:15:00.000,1.08810,1.08824,1.08796,1.08797,1237.25
04.11.2024 19:30:00.000,1.08796,1.08835,1.08777,1.08818,1212.96
04.11.2024 19:45:00.000,1.08818,1.08821,1.08778,1.08788,1508.91
04.11.2024 20:00:00.000,1.08788,1.08802,1.08771,1.08787,1163.74
04.11.2024 20:15:00.000,1.08787,1.08814,1.08782,1.08786,1209.21
04.11.2024 20:30:00.000,1.08785,1.08787,1.08755,1.08780,1445.7799999999997
04.11.2024 20:45:00.000,1.08778,1.08779,1.08753,1.08756,1715.5800000000002
04.11.2024 21:00:00.000,1.08756,1.08761,1.08739,1.08750,469.78999999999996
04.11.2024 21:15:00.000,1.08751,1.08757,1.08743,1.08743,513.0600000000001
04.11.2024 21:30:00.000,1.08743,1.08760,1.08743,1.08753,722.97
04.11.2024 21:45:00.000,1.08753,1.08775,1.08751,1.08767,841.47
04.11.2024 22:00:00.000,1.08757,1.08780,1.08752,1.08779,143.52000000000004
04.11.2024 22:15:00.000,1.08773,1.08780,1.08760,1.08773,121.32
04.11.2024 22:30:00.000,1.08772,1.08781,1.08772,1.08780,92.18999999999998
04.11.2024 22:45:00.000,1.08776,1.08787,1.08776,1.08786,116.19
04.11.2024 23:00:00.000,1.08786,1.08787,1.08779,1.08779,246.86999999999998
04.11.2024 23:15:00.000,1.08779,1.08781,1.08773,1.08774,280.2
04.11.2024 23:30:00.000,1.08774,1.08774,1.08748,1.08749,482.12
04.11.2024 23:45:00.000,1.08750,1.08751,1.08733,1.08735,833.19
05.11.2024 00:00:00.000,1.08736,1.08742,1.08730,1.08741,0.0009077499999999995
05.11.2024 00:15:00.000,1.08742,1.08756,1.08742,1.08747,0.0006221999999999993
05.11.2024 00:30:00.000,1.08746,1.08751,1.08724,1.08749,0.0007914899999999981
05.11.2024 00:45:00.000,1.08749,1.08765,1.08742,1.08756,0.0009800999999999974
05.11.2024 03:00:00.000,1.08773,1.08782,1.08768,1.08780,0.001852840000000004
05.11.2024 03:15:00.000,1.08779,1.08788,1.08778,1.08785,0.001997960000000004
05.11.2024 03:30:00.000,1.08785,1.08795,1.08767,1.08769,0.0014600900000000052
05.11.2024 03:45:00.000,1.08769,1.08773,1.08752,1.08757,0.0014148000000000003
05.11.2024 04:00:00.000,1.08757,1.08779,1.08753,1.08775,0.0016367700000000005
05.11.2024 04:15:00.000,1.08774,1.08783,1.08767,1.08778,0.0014381000000000016
05.11.2024 04:30:00.000,1.08778,1.08779,1.08758,1.08762,0.0016147100000000073
05.11.2024 04:45:00.000,1.08762,1.08762,1.08743,1.08752,0.0014168200000000029
